module,project_count,csharp_files,review_depth,reviewed_scope,findings,boundary_recommendation,module_directory,remaining
Identity,2,283,全局结构扫描＋所列调用链/实现抽查,认证、TOTP、API Key、OIDC、Files 合同依赖,R14/R18,保留身份与授权边界；补齐文件依赖和 AOT 路径,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Identity,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Auditing,1,68,全局结构扫描＋所列调用链/实现抽查,微批协调器及审计接入结构,—,保留审计边界；本轮未进行突发流量或丢弃策略压测,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Auditing,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Files,2,55,全局结构扫描＋所列调用链/实现抽查,Host 文件 SQL、上传及内容 Contract 实现,R03,保留文件所有权；增加明确的租户资源合同,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Files,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Document,1,81,全局结构扫描＋所列调用链/实现抽查,版本删除的跨模块事务调用、项目依赖,R18,保留文档生命周期；拆开文件引用操作与本地事务,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Document,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Notifications,1,136,全局结构扫描＋所列调用链/实现抽查,模块装配、验证码、凭据解析、意图幂等、投递租约,R01/R08/R14/R18,保留通知核心；协议和审批同步以适配边界隔离,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Notifications,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Calendar,1,16,全局结构扫描＋所列调用链/实现抽查,个人日程管理、所有者约束、AOT 错误定位,R14,当前独立边界可保留；多端行为未实测,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Calendar,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Platform,1,29,全局结构扫描＋所列调用链/实现抽查,模块注册、备份制品控制、发布说明结构,—,限定平台控制面职责；避免继续吸收无归属业务,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Platform,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Regions,1,21,全局结构扫描＋所列调用链/实现抽查,行政区划导入及层级校验,—,保留基础区划边界；大数据导入 SQL 往返待测,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Regions,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Jobs,1,44,全局结构扫描＋所列调用链/实现抽查,执行器租约、续约、批量查询；单元测试失败归因,R18,保留任务调度边界；更新过期测试替身,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Jobs,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Messaging,1,33,全局结构扫描＋所列调用链/实现抽查,切流协调器及 Outbox/Inbox 结构,—,保留可靠交付边界；CDC/Kafka/切流运行验证未执行,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Messaging,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Tenancy,1,66,全局结构扫描＋所列调用链/实现抽查,租户解析、上下文、模块依赖及导出表面,R18,保留租户管理；同步文件依赖声明与公开合同清单,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Tenancy,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Organization,2,65,全局结构扫描＋所列调用链/实现抽查,模块注册、Contracts 及导入依赖,R18,保留组织数据所有权；具体岗位/组织 CRUD 未逐项复核,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Organization,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
